epochen	l_rate	time	RMSE_mean	RMSE_min	RMSE_max	MAE_mean	MAE_min	MAE_max	ABS_mean	ABS_min	ABS_max	REL_mean	REL_min	REL_max	R2_mean	R2_min	R2_max	RAE_mean	RAE_min	RAE_max	MAPE_mean	MAPE_min	MAPE_max	sMAPE_mean	sMAPE_min	sMAPE_max	EV_mean	EV_min	EV_max	U2_mean	U2_min	U2_max
1	0,016	11,371	13,92001228	9,85305119	33,9395761	10,96589729	7,080043906	28,748182	6,003618016	-1,288852274	27,6287887	0,209818567	-0,045043695	0,965589887	0,220679986	-3,107954585	0,6537783	77,95130541	50,32863708	204,3570404	38,32437115	24,74382381	100,4711213	36,53544142	26,63396419	67,33059877	0,663593971	0,215329165	4,356558108	0,450802681	0,319093245	1,09914069
2	0,016	20,442	13,32620019	8,838818465	21,45477474	10,67289393	6,38029594	18,32080481	5,741322711	-9,760756997	17,1853798	0,20065169	-0,341125641	0,600606459	0,329855332	-0,64157498	0,721387091	75,86848505	45,35446433	130,2338162	37,30036289	22,29829655	64,02880722	37,56480601	24,69476486	66,35318629	0,561827481	0,15749937	1,74127437	0,431571945	0,286247094	0,694817632
3	0,016	29,15	14,75826893	9,140012706	36,38087566	11,96714167	6,67231977	31,83956777	7,446459366	-4,726144593	31,34852975	0,260243977	-0,165172548	1,095589953	0,063083028	-3,720185889	0,702075372	85,06867158	47,43032171	226,3322195	41,82358879	23,31888149	111,2751087	38,92658473	26,40164911	72,42363222	0,880666949	0,118888706	5,29294898	0,477949808	0,296001336	1,178202717
4	0,016	38,184	11,93669651	8,673545118	19,24875832	9,401928704	6,515739794	16,25481992	4,719865738	-6,10224239	14,32098303	0,16495311	-0,213265359	0,500499553	0,466397198	-0,321351146	0,731709009	66,83380271	46,31726974	115,5477203	32,85850631	22,77165504	56,80846131	34,02053978	27,00220124	53,28825256	0,430662233	0,108013257	1,343890594	0,38657256	0,28089468	0,623375302
5	0,016	59,334	14,04593452	8,908910695	26,22185703	11,33895006	6,696247252	23,01677188	7,150615336	-3,857935652	22,42261708	0,249904617	-0,134829785	0,783641025	0,198169512	-1,452108577	0,716950744	80,60315869	47,6004107	163,6151942	39,62814161	23,4025049	80,44059553	37,59791334	26,65514609	60,34552602	0,7382467	0,123562732	2,74755975	0,454880701	0,288517046	0,849200648
6	0,016	57,895	12,37853259	8,490294364	23,49566956	9,926413074	6,121654488	20,08982301	6,124177799	-1,746845308	19,22966262	0,214031973	-0,06104995	0,672051459	0,406117907	-0,968740419	0,742925913	70,5621106	43,51590628	142,8089183	34,69151032	21,39437864	70,21129355	34,29851673	23,94453426	54,89196149	0,52492549	0,129771066	2,110900709	0,40088152	0,274960064	0,760912463
7	0,016	65,765	13,27836267	8,843214097	27,85411309	10,73234954	6,458858817	24,35842854	6,839378197	-5,115536901	23,59095563	0,239027288	-0,178781298	0,824472923	0,299671219	-1,766887334	0,721109908	76,29112649	45,91293016	173,152388	37,50815245	22,57286349	85,12950937	37,04155044	24,95153885	62,41726729	0,638191652	0,131783934	3,07600369	0,430022716	0,286389447	0,902061622
8	0,016	75,322	12,4622046	8,804362563	17,83658654	9,964433676	6,60922994	14,81056319	4,489293445	-11,50020903	13,2927522	0,156894911	-0,401917205	0,464564235	0,418102142	-0,134583064	0,723555061	70,83238082	46,98184636	105,2811917	34,82438733	23,09839082	51,76097367	37,23851453	25,98603016	76,76686784	0,453822175	0,117282042	1,132488078	0,403591256	0,285131232	0,577641806
9	0,016	84,814	14,16344073	8,754220987	28,20399253	11,61782596	6,570549235	25,29937911	7,781599568	-2,631895731	24,92118475	0,271956687	-0,0919813	0,870962685	0,164908565	-1,836834424	0,726694849	82,58555374	46,70688378	179,8411544	40,60277627	22,96320684	88,41800807	38,40134601	25,66084485	64,39582298	0,807089429	0,107743212	3,293461487	0,458686165	0,283507386	0,913392545
10	0,016	93,929	14,42523458	8,957466049	26,32450034	11,80108078	6,836561026	22,15323335	8,189614886	-4,372613202	20,7120035	0,286216287	-0,15281709	0,723857327	0,172290092	-1,471343306	0,713856986	83,88822437	48,59783404	157,4767129	41,24322779	23,89288312	77,42264174	39,28610432	26,68861466	58,24379807	0,783440075	0,117138499	2,566637762	0,467164417	0,290089522	0,852524774
