epochs	time	RMSE_mean	RMSE_min	RMSE_max	MAE_mean	MAE_min	MAE_max	ABS_mean	ABS_min	ABS_max	REL_mean	REL_min	REL_max	R2_mean	R2_min	R2_max	RAE_mean	RAE_min	RAE_max	MAPE_mean	MAPE_min	MAPE_max	sMAPE_mean	sMAPE_min	sMAPE_max	EV_mean	EV_min	EV_max	U2_mean	U2_min	U2_max	
1	9,108	14,45045142	9,287597671	24,46760021	11,42591539	6,911858709	19,4437676	4,207952052	-17,44444057	15,39707172	0,147062399	-0,609660293	0,53810744	0,185812628	-1,134988586	0,69237644	81,22135349	49,13308916	138,2164202	39,93207401	24,15603863	67,95341473	40,69302808	26,11997248	106,8916769	0,593938241	0,133548199	1,924259102	0,46798107	0,300780908	0,792388652	
2	15,602	13,05504406	8,43071756	26,15111057	10,30882384	6,143306302	21,84952478	2,804412909	-10,06919327	19,41504216	0,098010549	-0,351905083	0,678530231	0,311805011	-1,43889487	0,746521058	73,28048534	43,66981865	155,3177943	36,02798572	21,47004889	76,36122018	38,05213431	24,72682477	61,29633615	0,528308559	0,115436105	2,454612153	0,422790494	0,273030656	0,846909508	
3	22,446	15,38107121	8,566576052	33,37460978	12,54287777	6,204303503	28,65617303	6,282009086	-12,86338074	27,95651953	0,219547969	-0,449558267	0,977043649	-0,024047914	-2,972328893	0,738285759	89,16130349	44,10341849	203,7029927	43,83571088	21,68322609	100,1495621	42,28565441	24,56184632	80,14768444	0,91677459	0,122156013	4,320388955	0,498119398	0,277430463	1,08084413	
4	29,17	13,11270629	8,387548149	24,80682856	10,52366735	6,186419673	21,35105734	4,913906609	-9,28565772	20,61043976	0,171734584	-0,324521545	0,720307807	0,326879015	-1,194599605	0,749110285	74,80770488	43,97629093	151,7744283	36,7788356	21,62072446	74,61914191	37,74421386	25,39875908	65,0445079	0,560308003	0,131899047	2,383351029	0,424657898	0,271632605	0,803374638	
5	36,615	15,40763212	9,01959102	30,66625249	12,59704324	6,798405521	26,15530151	6,886290047	-13,71085035	25,53304597	0,240666795	-0,479176217	0,892346431	0,015878099	-2,353777296	0,709874102	89,54633981	48,32660486	185,9254964	44,02501208	23,75953464	91,40934449	43,19539014	26,38448405	83,90018508	0,855051542	0,195090837	3,615497021	0,498979579	0,292101453	0,99313338	
6	55,7	16,55961949	9,104225903	29,06620608	13,68870157	6,920833931	25,03416898	9,23848301	-11,49608226	24,17966512	0,322872851	-0,40177298	0,845047547	-0,140396853	-2,012933199	0,704403793	97,30641542	49,19688972	177,9559028	47,84021461	24,18740586	87,49113349	44,52506998	27,20773051	75,01779843	1,089708999	0,143710794	3,275978404	0,536286945	0,294842372	0,941315522	
7	71,661	13,69027863	8,358995946	23,39669234	11,11993722	6,219871788	20,28156266	4,950104064	-16,24696865	19,66910318	0,172999637	-0,567810221	0,68740933	0,254725525	-0,95218843	0,750815494	79,04630139	44,21408597	144,1719035	38,86272047	21,7376352	70,88139844	40,76291557	26,01840271	98,54403354	0,590858316	0,138311655	2,145464194	0,443362706	0,270707935	0,757707064	
8	71,106	12,16595166	8,247894301	23,79055711	9,726262681	6,136752066	20,13532762	5,771989077	-2,461167218	18,61167446	0,201723439	-0,086014563	0,650453585	0,427654238	-1,018468753	0,757395429	69,13933743	43,62322772	143,1323887	33,99201097	21,44714269	70,37032616	34,20694758	26,20569889	55,12615481	0,498741352	0,124303488	2,10190826	0,393997039	0,267109884	0,770462462	
9	79,774	14,19350342	8,721020476	30,84973645	11,64879614	6,623690803	27,12369026	7,425040512	-6,587032861	26,45608501	0,259495417	-0,230208149	0,924605433	0,141621631	-2,394030359	0,728763945	82,80570588	47,08464171	192,8093076	40,71101297	23,14892964	94,793736	38,70479685	26,63443964	66,60336895	0,823040939	0,122276663	3,813855442	0,459659752	0,28243218	0,999075548	
10	88,265	14,26772009	8,895077881	34,98124674	11,7375085	6,761727035	30,65631454	6,936619923	-7,466780986	30,08029725	0,242425758	-0,260954191	1,051266892	0,098333072	-3,363986252	0,71782904	83,43631954	48,06587508	217,9210396	41,02105104	23,63134814	107,139794	40,02109512	26,49548678	71,03100849	0,863013216	0,114030399	4,895054039	0,462063276	0,288069067	1,132875424	
