h_neuron	time	RMSE_mean	RMSE_min	RMSE_max	MAE_mean	MAE_min	MAE_max	ABS_mean	ABS_min	ABS_max	REL_mean	REL_min	REL_max	R2_mean	R2_min	R2_max	RAE_mean	RAE_min	RAE_max	MAPE_mean	MAPE_min	MAPE_max	sMAPE_mean	sMAPE_min	sMAPE_max	EV_mean	EV_min	EV_max	U2_mean	U2_min	U2_max	
1	6,565	18,31569452	10,42941654	37,71305208	15,35167606	7,308107957	36,15787928	-2,202788195	-36,01759187	19,81306344	-0,076984555	-1,258767543	0,692440552	-0,472052782	-4,072197643	0,612088341	109,1277036	51,94983506	257,0290253	53,65209209	25,54087773	126,3670404	66,42517736	27,29954905	199,2485829	0,571751575	0,152549329	2,914410878	0,593157824	0,337758965	1,221345545	
2	8,54	13,55970279	9,705631833	30,25212015	10,58948533	7,132142972	25,02679691	0,577482592	-12,8936075	22,14418349	0,020182258	-0,450614652	0,773910137	0,277525203	-2,263806772	0,664060994	75,27557332	50,69898436	177,9034983	37,00886079	24,92590321	87,46536908	40,63393811	26,83580438	80,70867429	0,453976516	0,131277496	3,236572937	0,439133978	0,314319037	0,979721612	
3	9,039	12,15867577	8,4143581	22,56712648	9,486810619	6,243718021	19,12798539	1,559007045	-12,17479254	17,12530287	0,054485249	-0,425493013	0,598506849	0,433896188	-0,816206945	0,747503834	67,43718755	44,3835974	135,9716758	33,15515746	21,82097466	66,84979735	36,41946599	25,63229214	79,55194906	0,370532995	0,089489926	1,869080166	0,393761408	0,272500851	0,73084139	
4	11,77	15,97587067	8,771259569	41,37114206	12,93965897	6,239342218	34,77633162	5,963833916	-13,54304435	32,89330827	0,208428165	-0,473311617	1,149577934	-0,117952568	-5,103905845	0,725629931	91,98183077	44,35249192	247,2082655	45,22240908	21,8056818	121,5387128	43,56128992	24,37400595	79,58947142	0,967971533	0,114938773	6,361913909	0,51738211	0,284059184	1,339813599	
5	11,013	19,54801873	8,739128745	51,82616225	16,233181	6,431831956	44,72708482	4,765853719	-38,35987625	44,21885619	0,16656033	-1,340627307	1,545390963	-0,928575441	-8,578795616	0,727636391	115,3938995	45,72080917	317,9433983	56,73283611	22,47840816	156,3152886	55,97772558	25,09688121	199,2245311	1,535751624	0,098289741	10,55521618	0,633066917	0,28301862	1,678401744	
6	13,423	18,06026115	8,755749276	34,93635086	14,99946639	6,521406687	29,39156628	8,769795158	-11,14788761	27,99035969	0,306492826	-0,389604034	0,978226319	-0,388833223	-3,352791723	0,726599415	106,624014	46,35755297	208,9305508	52,42116555	22,79146008	102,7196649	48,72098559	27,08823405	78,68283884	1,309695576	0,103809399	4,455915816	0,584885558	0,28355688	1,131421461	
7	12,223	16,68053357	8,724579215	34,05887925	13,79044874	6,480727344	29,98121143	7,896104722	-10,43003586	29,54699651	0,275958492	-0,364516058	1,032628731	-0,247527	-3,136885606	0,728542537	98,02968727	46,06838303	213,1220553	48,19580761	22,64929112	104,7803973	45,64024575	25,25936569	72,22692233	1,182468489	0,105829601	4,678613395	0,540202774	0,28254743	1,103004349	
8	12,707	15,95763484	9,452737784	40,91769618	13,21896688	6,951915536	35,59380023	6,18877115	-10,64006421	34,75751542	0,216289426	-0,371856273	1,214729526	-0,159487133	-4,970836141	0,681339651	93,96729675	49,41783394	253,0192578	46,19855354	24,29603198	124,3956582	46,01963785	26,99001659	76,58815786	1,079158398	0,102913415	6,614370955	0,516791539	0,306129007	1,325128654	
9	13,606	21,22267257	8,388761988	56,19547739	17,92928645	6,185695174	49,38031656	11,12721961	-22,06689062	49,12595924	0,388881715	-0,771208852	1,716887771	-1,106045822	-10,26200034	0,749037662	127,4506999	43,97114081	351,0209914	62,66050195	21,61819243	172,5777225	55,57307008	26,20797875	123,3802677	2,035814965	0,10881102	12,76107175	0,687300952	0,271671915	1,819902983	
10	13,907	24,37546385	9,722534391	46,81110486	20,70265649	7,274730382	40,06783159	14,08556146	-24,93237905	39,33752239	0,492271878	-0,871353911	1,374794756	-1,581293377	-6,814669033	0,662889886	147,1652576	51,71256988	284,8230013	72,35306609	25,42422748	140,0318104	59,91295982	27,96680989	118,177019	2,487556067	0,191824588	8,466852515	0,789404796	0,31486643	1,515988	
