l_rate	time	RMSE_mean	RMSE_min	RMSE_max	MAE_mean	MAE_min	MAE_max	ABS_mean	ABS_min	ABS_max	REL_mean	REL_min	REL_max	R2_mean	R2_min	R2_max	RAE_mean	RAE_min	RAE_max	MAPE_mean	MAPE_min	MAPE_max	sMAPE_mean	sMAPE_min	sMAPE_max	EV_mean	EV_min	EV_max	U2_mean	U2_min	U2_max
0	9,572	101,1328074	13,6929773	264,7558471	99,52873964	10,74444461	264,241839	-37,64200464	-264,241839	199,0206469	-1,315538637	-9,234905312	6,955510288	-52,65837494	-248,9792303	0,331335014	707,5020838	76,37710453	1878,368523	347,8398765	37,55042313	923,4905312	156,0599473	39,79255712	199,8224851	18,93169159	0,188335429	193,6662524	3,27520837	0,443450103	8,574176752
0,0002	8,751	45,35595165	12,48293898	105,565818	42,42900975	9,457226771	104,7041825	-15,74141732	-104,6950373	93,22743939	-0,550141866	-3,658954086	3,258176595	-8,949083532	-38,74288963	0,444292189	301,6074846	67,22689015	744,2918253	148,283818	33,05176579	365,9273698	124,9224653	37,89130983	199,6391433	4,135518333	0,117461098	43,2478444	1,468862541	0,404262744	3,418772399
0,0004	8,794	36,92590639	12,74586653	105,4698971	33,41110208	10,19558962	103,8549462	-7,686487785	-103,8350388	42,44624618	-0,268632655	-3,628898267	1,48344057	-5,927917183	-38,67069882	0,420635956	237,5035033	72,47555758	738,2550119	116,7674147	35,632247	362,9594005	105,7789801	35,70884172	199,6498084	2,232511383	0,1635268	9,614230422	1,195853658	0,412777711	3,41566598
0,0006	8,968	29,48935922	11,45812022	50,2464688	26,18554311	8,419032021	48,76399828	2,912683014	-48,66175328	46,25311296	0,101794447	-1,700664382	1,616485566	-2,610123874	-8,003759752	0,531791218	186,1404694	59,84686152	346,6398803	91,51503491	29,42341146	170,4237711	91,04427682	32,11888137	199,1567008	2,350290978	0,162614518	10,8203445	0,95501943	0,371073761	1,627243022
0,0008	8,902	24,18233133	10,39832498	77,47825376	21,22996808	7,545682564	76,44870061	-11,05459157	-76,40325117	32,12397152	-0,38634346	-2,670193308	1,122690624	-2,015591428	-20,40782046	0,614397733	150,9136628	53,63863902	543,4371537	74,19595087	26,37116978	267,1781706	83,99878784	28,48414438	199,5534779	0,627200239	0,128503247	5,831007321	0,783150157	0,336752058	2,50915041
0,001	9,92	24,14751749	10,7978691	51,95810863	20,32471441	7,769716945	45,95773055	8,79419496	-31,64747387	45,34722941	0,307345567	-1,106037657	1,584826125	-1,474316215	-8,627631815	0,584195751	144,4786486	55,231192	326,6914687	71,03220815	27,15414053	160,6162338	63,80670719	29,03126708	146,0731934	2,117328128	0,13184356	10,96785037	0,782022703	0,349691383	1,682674857
0,0012	8,777	24,03289564	11,1597962	59,81677787	20,25815447	8,257852833	58,43920863	-6,708894245	-58,38299317	40,14110552	-0,234467045	-2,040408952	1,402878931	-1,58454114	-11,76023982	0,555854431	144,0055059	58,70111596	415,4163112	70,79958989	28,86011136	204,2373609	78,83401497	30,85168877	199,4450675	0,990353933	0,172362414	8,53480504	0,778310649	0,361412472	1,937179601
0,0014	8,817	21,89853386	12,51732302	73,40301262	18,52647822	9,25233179	72,0895483	-4,132644392	-72,0379194	15,57165813	-0,144430495	-2,517630694	0,544209005	-1,380846692	-18,21500826	0,441226598	131,6958498	65,77038999	512,4500303	64,74760877	32,33568474	251,9435057	67,02278	33,45452708	199,5407254	0,675235575	0,113504585	2,314651028	0,70918887	0,405376279	2,377172823
0,0016	9,066	21,13569922	9,921526804	61,4911778	17,88156617	6,905476933	60,03238091	3,41855541	-59,95461661	36,40701226	0,119474023	-2,095335128	1,272377274	-1,100523987	-12,48461121	0,648949314	127,1114793	49,08772418	426,741409	62,49372585	24,13373516	209,8052888	58,95510443	26,05315354	199,4257846	1,29316154	0,154571438	6,700629822	0,684484301	0,321310843	1,991405414
0,0018	8,933	19,11965487	10,9729692	35,43205891	15,76295982	8,033504983	32,014552	2,554440758	-31,47857867	27,5898839	0,08927435	-1,100134992	0,964230215	-0,460924578	-3,477190616	0,570600903	112,0513227	57,10633467	227,5760984	55,08947484	28,07604508	111,8866556	59,08578622	29,3179774	163,1994636	0,906048123	0,175202926	4,179737699	0,619194258	0,355362038	1,147475076
