l_rate	time	RMSE_mean	RMSE_min	RMSE_max	MAE_mean	MAE_min	MAE_max	ABS_mean	ABS_min	ABS_max	REL_mean	REL_min	REL_max	R2_mean	R2_min	R2_max	RAE_mean	RAE_min	RAE_max	MAPE_mean	MAPE_min	MAPE_max	sMAPE_mean	sMAPE_min	sMAPE_max	EV_mean	EV_min	EV_max	U2_mean	U2_min	U2_max
0	9,013	90,41036271	19,45198414	253,9376091	88,63580868	16,98210402	253,512693	-44,31394738	-253,512693	130,2175771	-1,548714275	-8,859935748	4,550933337	-40,19664531	-228,967709	-0,349399733	630,069461	120,7176342	1802,100169	309,7705131	59,35022374	885,9935748	154,9952681	54,4561457	199,8146332	9,937921005	0,128147903	82,99897721	2,927959623	0,629956815	8,22382572
0,001	8,839	30,38731413	12,66807983	69,82269791	26,98301843	9,669725871	68,14516677	-9,174247584	-68,07187597	53,16495481	-0,320627907	-2,379022684	1,858045363	-3,245985614	-16,3862555	0,427685974	191,8093391	68,73744436	484,4113133	94,30210645	33,79442224	238,1584101	99,56749448	35,61115217	199,4893212	1,523405894	0,183159348	14,43434857	0,984099899	0,410258571	2,261223538
0,002	9,164	19,99298993	9,270566149	83,01027974	16,89847055	6,874285673	81,32027853	-3,423901177	-81,26764431	15,65867555	-0,11966085	-2,840197461	0,54725015	-1,253668003	-23,57404001	0,693503641	120,1231239	48,86600047	578,0668651	59,05793573	24,02472581	284,2036958	60,96414343	26,40147919	199,5488307	0,590301463	0,126999418	1,737966437	0,647477407	0,300229338	2,688306296
0,003	10,34	14,82285546	10,05991383	24,86208885	11,67741425	7,616191429	21,06918205	2,30712602	-13,52298148	18,42384227	0,080631025	-0,472610446	0,643889096	0,152198748	-1,204387981	0,639087996	83,00913833	54,13985273	149,770712	40,81102952	26,61758901	73,6340248	42,43722421	31,19271566	82,54851198	0,571295693	0,144223037	2,245368152	0,480041457	0,325792538	0,805164254
0,004	8,871	17,24213996	11,39672578	44,88492769	14,05424894	8,900697242	43,70068042	-0,880472219	-43,60200349	14,2903314	-0,030771348	-1,523832771	0,499428319	-0,235475772	-6,184786477	0,536795251	99,90491639	63,27078861	310,6471816	49,11775467	31,10676816	152,72814	54,41203199	33,71497623	199,289806	0,538219077	0,100577486	1,516873435	0,558390522	0,369085489	1,453608326
0,005	8,851	14,34048076	10,00344721	20,5635461	11,25382751	7,469558687	16,48603281	3,763099046	-5,087857025	12,46261013	0,131515371	-0,177813922	0,43555186	0,231725586	-0,508025984	0,643128246	79,99806328	53,09751088	117,1913018	39,33064947	26,10512683	57,61652	39,61078886	29,6576936	51,71514696	0,554899183	0,107981212	1,333499708	0,464419646	0,323963854	0,665954996
0,006	9,046	15,07093758	10,18863297	21,40491654	11,86431266	7,939435484	17,39598208	-0,055055879	-13,82586291	11,13646375	-0,001924131	-0,483195755	0,389204785	0,15747298	-0,633954217	0,629792987	84,33770947	56,43763971	123,6596948	41,4642149	27,74728454	60,79667321	47,49041233	29,8935374	86,54798549	0,451914352	0,135946987	0,954456784	0,488075652	0,329961135	0,693202963
0,007	8,838	15,427141	10,76482198	38,42208346	12,46450339	7,870759263	36,7342519	0,411740172	-36,58845378	12,83362447	0,014389778	-1,278718417	0,448518324	0,016803084	-4,264712118	0,586737013	88,60417758	55,94945339	261,1261818	43,56180271	27,50727016	128,381387	49,07148606	29,65841359	199,2040093	0,48259325	0,167855487	1,454938979	0,499611379	0,348621144	1,244307684
0,008	8,878	14,92981178	11,24955562	25,64520466	11,57866767	8,448381852	19,98714447	0,118089142	-16,47065126	13,67021755	0,00412706	-0,575627635	0,477756154	0,155361872	-1,345444413	0,54868108	82,30719621	60,05549539	142,0790258	40,46592317	29,52598526	69,85244554	44,82295952	30,72730006	99,55707261	0,473538025	0,12138917	1,958629377	0,483505262	0,36431935	0,830525633
0,009	8,824	14,98213979	8,690907719	22,23438457	11,81127194	6,342709848	18,0125213	3,542888978	-10,96616822	15,29185261	0,123819318	-0,38325318	0,53443017	0,15007053	-0,763043518	0,73063381	83,96066846	45,08728283	128,0423765	41,27884457	22,16693809	62,95139684	42,36931076	26,02696193	76,79702874	0,607137062	0,105354269	1,644257469	0,485199916	0,281456972	0,720065469
