index	real	predict
25	25,41	25,89696986
26	20,55	25,73046319
27	22,1	26,42746304
28	24,5	28,22934923
29	34,51	33,46853246
30	37,71	36,14196201
31	40,46	36,12855197
32	34,46	34,3463173
33	32,71	32,96640058
34	31,79	31,75373542
35	26,02	28,78714653
36	26,04	27,164619
37	24,43	26,16409609
38	22,08	26,25573059
39	22,01	27,10185276
40	24,85	30,11598582
41	26,93	32,74903374
42	30,17	35,14452719
43	32,73	35,34973013
44	34,68	34,77347669
45	36,92	33,45178476
46	26,1	27,68600246
47	28,03	19,44161975
48	25,91	18,53458965
49	25,02	18,31657973
50	24,03	18,37462601
51	22,11	19,67934571
52	24,71	21,86389834
53	30,9	27,13824836
54	33,15	29,90916595
55	33,4	30,20738622
56	29,98	28,36079324
57	29,08	26,80716595
58	28,63	26,00071066
59	26,34	23,68383337
60	25,29	22,87759351
61	25,15	22,24490998
62	25,92	22,22031158
63	28,48	22,84776576
64	34,63	25,34946083
65	42,4	27,93990341
66	50,17	30,27628076
67	46,31	31,36462723
68	44,85	31,64758633
69	47,05	31,41752388
70	39,9	25,88683417
71	42,84	18,0016296
72	35,93	16,92921704
73	33	16,66408618
74	29,15	17,10825335
75	28,74	17,97837816
76	28,7	20,22143228
77	30,62	25,35682928
78	31,29	27,79700761
79	32,49	27,35761866
80	30,71	24,88540809
81	28,64	23,42798532
82	29,88	22,68469622
83	29,91	21,79666009
84	28,56	21,50874799
85	27,46	21,66269532
86	27,1	22,89365969
87	27,49	25,06190445
88	30,4	28,49961354
89	36,82	32,18172211
90	39,9	35,02765187
91	40,05	34,96819081
92	42,02	34,51034684
93	45,42	34,21232717
94	40,01	29,27711003
95	35	22,2476072
96	29,95	20,40820748
97	28,49	19,51597529
98	27,03	19,34883927
99	27,44	19,59456682
100	25,62	19,72112449
101	25,05	21,00099743
102	24,07	21,96247799
103	23,9	22,58531785
104	24,09	22,007648
105	21,06	20,96840516
106	22,98	20,31369486
107	24,08	19,10813451
108	22,92	18,00267053
109	19,42	17,49962962
110	20,08	18,40042945
111	23,91	20,19888707
112	27,07	23,35147525
113	30,03	26,69086719
114	35,74	28,75782666
115	36,58	28,86109645
116	36,6	28,60783016
117	39,99	28,55585736
118	38,49	41,04527128
119	32,24	35,55881028
120	28,94	33,92113755
121	26,86	33,30018231
122	24,79	32,96293497
123	24,98	33,03088591
124	27,43	32,65180182
125	36,52	32,78159941
126	44,81	32,97508056
127	45,84	33,4193818
128	45,97	33,82541498
129	46,69	33,83808858
130	52,38	34,4730119
131	52,87	33,94325588
132	47,67	32,93894282
133	48,19	32,46691243
134	47,06	33,4638539
135	45,98	35,43994333
136	44,97	38,23004557
137	46,73	40,88421209
138	47,02	42,55942869
139	44,62	42,96618552
140	42,14	43,03551001
141	44,98	43,36560671
142	33,77	38,57929307
143	32,43	32,72565441
144	28,47	31,8206214
145	27,91	31,47046072
146	26,4	31,8189292
147	26,93	33,18333521
148	28,03	36,22410539
149	35,04	42,88746806
150	50,1	47,57682123
151	60,15	49,20342895
152	54,95	49,36715189
153	53,84	49,46022413
154	53,59	50,25649145
155	49,99	49,88234628
156	44,98	49,28831698
157	40,79	49,28981514
158	38,52	49,23896524
159	38,51	49,10861225
160	41,94	49,91843795
161	42,92	50,57238315
162	45,9	50,55660291
163	47,32	49,10449332
164	46,1	47,53037085
165	46,89	45,71031171
166	37,03	39,50269948
167	43,06	33,31837745
168	36,13	31,87431316
169	31,07	31,48394933
170	30,01	32,02432561
171	30,01	33,35332624
172	36,62	36,06649248
173	44,92	42,04097073
174	56,25	47,12802292
175	54,01	49,54915593
176	58,62	48,92188612
177	57,82	48,74866171
178	59,29	48,92519819
179	52,32	47,55593548
180	46,99	46,39638472
181	46,07	45,43194734
182	45,23	44,86863263
183	45,54	44,41228432
184	49,94	45,42692737
185	56,36	46,41263257
186	59,15	47,35097668
187	54,97	46,7198005
188	52,34	45,64350063
189	53,98	44,09497977
190	44,73	37,90516398
191	40,01	32,42128301
192	36,44	30,76881254
193	33,36	30,04200645
194	31,86	30,39406966
195	31,29	31,41068818
196	38,06	34,20568224
197	43,09	39,9813605
198	55,92	44,2663372
199	54,38	44,66167821
200	53,88	43,87016281
201	52,5	43,39238859
202	52,06	43,46735961
203	45,98	41,70335906
204	42,91	40,67329573
205	42,01	40,25652266
206	42,07	40,36644117
207	42,05	40,87732771
208	49,38	42,72508921
209	56,14	44,9874874
210	55,63	46,53613537
211	53,45	45,85481692
212	51,21	44,86910247
213	50,48	43,46047407
214	39,93	37,31549543
215	37,22	30,85446872
216	34,25	29,42712061
217	32,91	28,61443938
218	30,01	28,83849513
219	29,94	29,62367552
220	31,11	32,47215872
221	38,76	37,81683995
222	45,28	41,85547329
223	46,04	42,30645483
224	44,97	41,22364007
225	43,91	40,30973212
226	42,05	39,65683245
227	32,94	37,9466651
228	29,76	37,01000564
229	29,92	36,47509992
230	29,95	36,76005643
231	30,55	37,41132372
232	36,6	39,8002292
233	40,86	42,13357909
234	45,45	43,44596326
235	44,71	43,11893659
236	46,91	42,04056279
237	47,09	40,44635419
238	41,97	34,40531517
239	41,85	27,36127027
240	38,18	25,77572099
241	35,04	24,92208338
242	33,31	24,82792492
243	32,08	25,68835229
244	31,23	27,8980898
245	30,71	33,00870936
246	34,43	36,13104594
247	36,93	36,35796178
248	41,93	34,99421777
249	36,92	33,72145829
250	36,57	32,43735766
251	35,05	29,68496028
252	31,26	28,16361395
253	31,72	27,59453302
254	32,52	28,08891086
255	34,33	29,01009059
256	38,1	31,38077929
257	43,37	34,15250878
258	46,93	36,01066942
259	45,92	35,79544567
260	44,92	35,52507654
261	46,94	34,87531484
262	43	30,04995923
263	40,52	21,88613485
264	35,87	20,41965535
265	31,05	19,78628554
266	28,88	19,84676231
267	27,1	20,22455664
268	25,45	20,56160412
269	25,4	21,83866988
270	27,07	23,3864513
271	29,5	24,2964456
272	33,1	24,83256041
273	34,97	24,15312744
274	34,97	23,58259832
275	30,79	21,86461656
276	27,58	20,47135802
277	25,44	20,43204412
278	22,74	21,13709324
279	21,42	22,30858897
280	22,24	24,79191226
281	26,76	27,36515406
282	31,9	28,74641169
283	32,83	28,69700116
284	33,45	28,68180783
285	36,03	28,99334693
286	31,04	41,83418009
287	25,41	37,34123751
288	23,26	35,89982468
289	24,24	34,88899636
290	23,12	34,41143255
291	22,63	34,42984308
292	25,44	34,44605403
293	37,34	34,74401376
294	45,12	35,86501051
295	47,99	37,41180654
296	47,11	38,59858391
297	45,92	39,44909506
298	48,19	40,26855845
299	48,82	39,18922272
300	48,73	37,75234211
301	47,94	36,79336884
302	48,05	36,35948022
303	49,54	36,18360648
304	50,94	37,29605358
305	49,93	39,36321432
306	56	40,89089997
307	50,03	41,38906101
308	48,19	41,87842009
309	46,54	42,55301384
310	41,95	37,64231026
311	40,17	30,77814686
312	35,08	29,28063999
313	32	28,82768708
314	28,8	29,13538455
315	28,78	30,78974235
316	32,15	34,42471089
317	41,32	41,320635
318	48,77	45,63012644
319	55,77	46,68372474
320	52,58	45,49612978
321	52,63	44,76490102
322	50,94	44,83585445
