index	real	predict
25	25,41	25,86272827
26	20,55	24,9121673
27	22,1	25,22545842
28	24,5	26,16814425
29	34,51	31,62413598
30	37,71	35,33635628
31	40,46	36,99330915
32	34,46	35,90240058
33	32,71	35,11272357
34	31,79	34,2041219
35	26,02	30,39004691
36	26,04	28,34259203
37	24,43	26,16575355
38	22,08	25,8521143
39	22,01	25,84655743
40	24,85	30,30700143
41	26,93	31,77028177
42	30,17	34,98049045
43	32,73	34,93729982
44	34,68	33,96289517
45	36,92	32,44641331
46	26,1	25,35549305
47	28,03	21,71988053
48	25,91	20,84884085
49	25,02	20,72516067
50	24,03	19,35954357
51	22,11	20,42110889
52	24,71	22,26383324
53	30,9	28,29409877
54	33,15	31,5353624
55	33,4	33,19258727
56	29,98	31,0294807
57	29,08	30,15838545
58	28,63	29,84555698
59	26,34	26,75686018
60	25,29	26,07175572
61	25,15	24,85121986
62	25,92	23,69798853
63	28,48	23,50626367
64	34,63	25,44622
65	42,4	27,11312446
66	50,17	28,87417816
67	46,31	29,62488558
68	44,85	29,9179334
69	47,05	30,13816743
70	39,9	21,74291125
71	42,84	20,47425855
72	35,93	19,15614393
73	33	18,63796084
74	29,15	18,49462421
75	28,74	18,34500375
76	28,7	20,29116147
77	30,62	25,37994199
78	31,29	28,21269137
79	32,49	28,79315175
80	30,71	26,72020042
81	28,64	25,91651505
82	29,88	25,43748075
83	29,91	23,9255753
84	28,56	22,97692672
85	27,46	22,41366284
86	27,1	22,8302569
87	27,49	24,35928236
88	30,4	27,73436209
89	36,82	31,62411866
90	39,9	34,99316875
91	40,05	33,4511822
92	42,02	32,49851446
93	45,42	32,76642061
94	40,01	25,97342627
95	35	25,3452848
96	29,95	22,27326737
97	28,49	20,81681961
98	27,03	19,51613785
99	27,44	19,38645831
100	25,62	19,29406054
101	25,05	20,46232477
102	24,07	21,25816905
103	23,9	22,17912642
104	24,09	21,54672624
105	21,06	20,41699361
106	22,98	20,30283311
107	24,08	19,20075085
108	22,92	17,66363923
109	19,42	16,57094044
110	20,08	16,69761687
111	23,91	17,67063384
112	27,07	20,33173984
113	30,03	24,08441748
114	35,74	26,06114306
115	36,58	25,95860341
116	36,6	26,19788465
117	39,99	26,99872133
118	38,49	38,9243582
119	32,24	32,1288365
120	28,94	30,3239682
121	26,86	29,86726846
122	24,79	29,50483886
123	24,98	29,79954122
124	27,43	29,31212732
125	36,52	29,4037193
126	44,81	29,50785888
127	45,84	30,03855008
128	45,97	30,71666398
129	46,69	30,3323197
130	52,38	31,51072176
131	52,87	31,79478334
132	47,67	31,10357877
133	48,19	29,91952022
134	47,06	30,46878009
135	45,98	32,28802457
136	44,97	34,30588281
137	46,73	36,21458391
138	47,02	38,42087642
139	44,62	38,79036989
140	42,14	38,88420875
141	44,98	40,04465636
142	33,77	36,63186689
143	32,43	29,83883566
144	28,47	28,72820999
145	27,91	28,16092238
146	26,4	27,87673544
147	26,93	28,63080819
148	28,03	30,76546275
149	35,04	36,65265007
150	50,1	41,78009556
151	60,15	43,51585495
152	54,95	44,19303919
153	53,84	45,00139052
154	53,59	47,44354137
155	49,99	47,55407435
156	44,98	45,87802286
157	40,79	45,88100327
158	38,52	45,35553444
159	38,51	44,75329417
160	41,94	44,80958675
161	42,92	45,4522772
162	45,9	45,37249352
163	47,32	43,79239284
164	46,1	42,22474449
165	46,89	41,93111892
166	37,03	34,97737561
167	43,06	29,86616691
168	36,13	28,25186661
169	31,07	28,01115571
170	30,01	27,92802516
171	30,01	28,75970816
172	36,62	30,46031252
173	44,92	35,68593663
174	56,25	42,91321879
175	54,01	47,44039921
176	58,62	46,29226764
177	57,82	46,48311385
178	59,29	47,09352789
179	52,32	45,54688193
180	46,99	43,7008033
181	46,07	42,04337535
182	45,23	41,02784012
183	45,54	40,4700238
184	49,94	41,69075145
185	56,36	42,16593348
186	59,15	43,13833109
187	54,97	42,77137613
188	52,34	41,72601804
189	53,98	41,00453539
190	44,73	34,12121371
191	40,01	31,90987397
192	36,44	29,32620925
193	33,36	27,67547381
194	31,86	27,61210095
195	31,29	28,15987995
196	38,06	31,40383747
197	43,09	36,99671928
198	55,92	43,02090146
199	54,38	43,43377468
200	53,88	44,76785248
201	52,5	44,97381881
202	52,06	45,95492681
203	45,98	43,20404511
204	42,91	41,20994174
205	42,01	40,52124282
206	42,07	40,03166079
207	42,05	39,97585917
208	49,38	41,79772303
209	56,14	44,30794936
210	55,63	45,50504138
211	53,45	43,62654562
212	51,21	42,20451116
213	50,48	41,70874375
214	39,93	34,74268403
215	37,22	29,88647726
216	34,25	28,20142033
217	32,91	26,95992441
218	30,01	26,6748698
219	29,94	26,93257788
220	31,11	30,30153387
221	38,76	34,98223738
222	45,28	41,39529127
223	46,04	42,08593438
224	44,97	41,96429514
225	43,91	41,7194174
226	42,05	41,71925667
227	32,94	39,14891507
228	29,76	37,70200294
229	29,92	36,86957244
230	29,95	36,68242398
231	30,55	36,5274524
232	36,6	39,42305216
233	40,86	42,02452415
234	45,45	42,23044997
235	44,71	41,07045474
236	46,91	39,61756856
237	47,09	38,3169
238	41,97	30,52190967
239	41,85	27,0323144
240	38,18	25,28668344
241	35,04	24,39672218
242	33,31	23,50545261
243	32,08	23,92416279
244	31,23	25,53231874
245	30,71	31,04948
246	34,43	35,53376674
247	36,93	36,73013818
248	41,93	36,2329103
249	36,92	35,7643452
250	36,57	34,83974613
251	35,05	30,43391416
252	31,26	28,22753463
253	31,72	27,38795441
254	32,52	27,19097863
255	34,33	27,40460319
256	38,1	30,09714104
257	43,37	32,45845529
258	46,93	34,2876305
259	45,92	33,36408733
260	44,92	33,46438671
261	46,94	32,89929342
262	43	26,59675722
263	40,52	24,64321229
264	35,87	22,59542905
265	31,05	21,19695383
266	28,88	20,58553377
267	27,1	20,29722625
268	25,45	20,0945751
269	25,4	20,60129862
270	27,07	22,61267823
271	29,5	24,09540363
272	33,1	26,13794268
273	34,97	24,55499907
274	34,97	24,09386886
275	30,79	22,15575471
276	27,58	19,64036264
277	25,44	19,2944701
278	22,74	19,58913904
279	21,42	20,52497806
280	22,24	22,99475732
281	26,76	25,9342472
282	31,9	27,53970002
283	32,83	26,95995717
284	33,45	26,50794939
285	36,03	27,15277991
286	31,04	39,54247402
287	25,41	33,83897789
288	23,26	32,22253357
289	24,24	30,70908212
290	23,12	30,10533183
291	22,63	29,78608799
292	25,44	29,49288064
293	37,34	29,77635889
294	45,12	30,92976373
295	47,99	32,54808796
296	47,11	34,38607215
297	45,92	35,62168207
298	48,19	36,34789704
299	48,82	35,01075705
300	48,73	33,62586522
301	47,94	32,69594804
302	48,05	31,87407496
303	49,54	31,51653608
304	50,94	32,30863443
305	49,93	34,4550823
306	56	36,4320796
307	50,03	36,8155163
308	48,19	37,24165613
309	46,54	38,35572178
310	41,95	33,87034443
311	40,17	26,91955709
312	35,08	25,91138063
313	32	26,15920958
314	28,8	26,11086244
315	28,78	26,77885162
316	32,15	29,24482149
317	41,32	35,97131063
318	48,77	40,83833656
319	55,77	42,96153564
320	52,58	42,88772982
321	52,63	43,03140424
322	50,94	44,25857687
323	45,82	44,33309252
324	37,88	44,28066415
325	36,08	44,02440281
326	39,27	44,21881002
327	43,97	44,76897523
328	48,92	45,77128626
329	56,55	45,96672843
330	66,39	47,82522536
331	60,83	45,38002684
332	55,92	44,24601271
333	55,13	42,93685951
334	48,65	37,90321406
335	37,83	32,44743222
336	37,61	30,31757069
337	35,64	29,23170558
338	31,82	28,37616092
339	32,22	28,84127306
340	35	31,04480128
341	44,24	36,75344454
342	53,64	41,48428538
343	56,92	44,94732401
344	52,51	44,3660712
345	55,09	44,86706603
346	54,15	44,78936657
347	49,96	42,81537867
348	48,07	40,14448462
349	48,02	39,11575003
350	49,15	40,02590428
351	51,27	41,28446421
352	52,9	43,2573737
353	50,72	46,03267561
354	51,7	49,08239231
355	50,56	46,78981217
356	49,98	44,83577715
357	49,94	43,89057913
358	41,89	38,10076827
359	36,06	30,79183245
360	35,5	30,15520504
361	33,1	29,33220779
362	30,52	28,36552738
363	32,3	28,90578172
364	35,2	30,9624149
365	39,99	36,78078525
366	49,94	42,16208148
367	50,66	44,27006289
368	54,87	43,01501775
369	51,91	44,11456717
370	52,92	44,1079231
371	54,91	42,17826989
372	54,72	41,38828926
373	51,83	41,24063403
374	51,5	41,58597876
375	51,94	42,36298071
376	51,37	43,34147971
377	51,94	42,99506598
378	53,37	43,32563444
379	55,93	42,03765232
380	52,95	41,2321791
381	53,39	40,19537347
382	45,46	33,61689759
383	41,97	28,13683714
384	36,59	27,42819735
385	34,36	26,45635518
