h_neuron	RMSE_mean	RMSE_min	RMSE_max
1	62,99771195	11,28224149	214,3774159
2	93,38072637	14,72602043	205,7019275
3	110,7570675	13,50210315	205,6890801
4	128,5706028	41,27107599	251,212342
5	101,1537067	12,38113775	205,6422057
6	107,5127711	10,99571921	205,6793985
7	103,4344468	12,07180169	234,6958836
8	106,272826	8,665088044	214,8473456
9	124,7656473	30,39431554	235,6202127
10	98,14553791	8,832530902	224,6974349
11	103,8527726	10,73306206	244,4714222
12	91,99263459	9,344181381	201,5320938
13	84,37854694	10,79955175	204,148969
14	113,378091	10,26548732	219,0333704
15	103,21327	9,897388748	244,8928979
16	109,4861744	14,05315888	203,4360816
17	102,7563591	13,22656982	189,2759047
18	111,5083469	18,02759485	206,2631802
19	120,2697645	15,69761385	254,1695544
20	98,50472873	11,08735241	205,0317335
