lag	AC											
0	1											
1	0,93736705											
2	0,830765614											
3	0,716244289											
4	0,612254446											
5	0,526946569											
6	0,467168681											
7	0,434038181											
8	0,425777544											
9	0,438114509											
10	0,459520908											
11	0,4746799											
12	0,47231852											
13	0,452926422											
14	0,416913504											
15	0,376991221											
16	0,3477422											
17	0,34056337											
18	0,356970402											
19	0,398702918											
20	0,462273651											
21	0,539444761											
22	0,622155193											
23	0,693627414											
24	0,724212661											
25	0,682112525											
26	0,598254137											
27	0,502506983											
28	0,413187521											
29	0,339264989											
30	0,289134529											
31	0,265120796											
32	0,264569271											
33	0,283582352											
34	0,309112731											
35	0,328375609											
36	0,330525727											
37	0,315965728											
38	0,285383502											
39	0,250288558											
40	0,223278915											
41	0,215513783											
42	0,230043052											
43	0,269358303											
44	0,329767788											
45	0,403268392											
46	0,480007052											
47	0,545082521											
48	0,572885306											
49	0,536929278											
50	0,464737269											
51	0,382143298											
52	0,30406063											
53	0,23989791											
54	0,196843109											
55	0,178583981											
56	0,183218654											
57	0,205776402											
58	0,234551656											
59	0,257303594											
60	0,264119431											
61	0,254440956											
62	0,229130957											
63	0,198100795											
64	0,173078793											
65	0,165467296											
66	0,180559217											
67	0,219974999											
68	0,280246763											
69	0,353407854											
70	0,430925164											
71	0,49713472											
72	0,526891509											
73	0,494990758											
74	0,427070205											
75	0,34826822											
76	0,273875056											
77	0,212336869											
78	0,171356536											
79	0,154797588											
80	0,160425314											
81	0,183233176											
82	0,212374675											
83	0,236263394											
84	0,2440099											
85	0,234709089											
86	0,209657573											
87	0,17873673											
88	0,154104973											
89	0,147160496											
90	0,162675264											
91	0,202568291											
92	0,263054175											
93	0,335869403											
94	0,412795546											
95	0,479594899											
96	0,510452048											
97	0,479959849											
98	0,413076382											
99	0,335863154											
100	0,262740531											
101	0,202134813											
102	0,162282501											
103	0,146420259											
104	0,152573519											
105	0,175977193											
106	0,205504602											
107	0,229410733											
108	0,23751102											
109	0,229113233											
110	0,205196159											
111	0,175255226											
112	0,151651039											
113	0,145603671											
114	0,161979175											
115	0,203044114											
116	0,265405951											
117	0,340305418											
118	0,419455245											
119	0,488292444											
120	0,521889558											
121	0,49462823											
122	0,430512003											
123	0,355085538											
124	0,283754939											
125	0,224144311											
126	0,18471293											
127	0,168554597											
128	0,174555988											
129	0,199466111											
130	0,232523918											
131	0,26091799											
132	0,273697316											
133	0,269429841											
134	0,249094706											
135	0,222328596											
136	0,202451508											
137	0,200022906											
138	0,219390924											
139	0,263450397											
140	0,330354523											
141	0,412593902											
142	0,500165844											
143	0,57675725											
144	0,61417643											
145	0,584691511											
146	0,515858019											
147	0,436339266											
148	0,36162259											
149	0,300706259											
150	0,259957682											
151	0,241997426											
152	0,246029351											
153	0,269925923											
154	0,303264628											
155	0,332685379											
156	0,346325975											
157	0,342942268											
158	0,323019705											
159	0,297510569											
160	0,279661059											
161	0,279822703											
162	0,301686631											
163	0,347689136											
164	0,415490779											
165	0,499303528											
166	0,590288089											
167	0,670314129											
168	0,707674201																					
